Property,Value
OS,Darwin 25.0.0
OS Version,Darwin Kernel Version 25.0.0: Wed Sep 17 21:41:39 PDT 2025; root:xnu-12377.1.9~141/RELEASE_ARM64_T8103
Architecture,arm64
Kernel,Darwin Kernel Version 25.0.0: Wed Sep 17 21:41:39 PDT 2025; root:xnu-12377.1.9~1
CPU,Apple M1
CPU Cores,8
CPU Cache L2,4096 KiB
CPU Cache L3,Unknown
CPU Max MHz,managed by OS (Apple Silicon)
RAM Total (GB),8.0
RAM Available (GB),0.33
Python,3.10.11
GCC,Apple clang version 17.0.0 (clang-1700.6.3.2)
libc,/usr/lib/libc.dylib
Runtime,Jupyter Notebook / Lab
Session timestamp,2026-03-09 21:01:44
